Symbol	GSM452235	GSM452236	GSM452237	GSM452238	GSM452239	GSM452240	GSM452241	GSM452242	GSM452243	GSM452246	GSM452247	GSM452248	GSM452250	GSM452251	GSM452252	GSM452253	GSM452254	GSM452255	GSM452256	GSM452257	GSM452258	GSM452259	GSM452260
MYCBPAP	2.44057	38.1144	1.73164	8.71124	8.72287	10.6776	2.75297	2.21766	1.66466	8.29708	4.0463	1.64138	2.54137	7.07636	6.96193	19.2518	1.51995	2.41688	7.97074	2.38908	2.22143	1.12716	16.115
EFCAB6	1.94238	1.72608	0.809842	1.47052	1.48935	3.85222	4.54051	1.07757	5.69977	3.61584	2.10993	1.2603	1.30371	1.06929	1.76178	2.04134	1.46226	7.46695	2.5327	1.23292	1.51773	1.42705	5.39266
METTL15	18.083	14.6426	11.4734	26.4106	26.806	32.7642	31.0602	38.1146	21.1021	16.2922	19.7645	23.5907	26.3852	18.8342	22.1219	33.7485	16.5398	17.1213	46.5362	30.6062	21.8518	17.9432	16.8076
DDX6	92.8413	70.9396	99.1083	63.6011	73.3732	113.603	185.454	137.202	165.989	149.652	162.712	108.834	134.423	189.024	213.713	190.262	111.668	223.422	13.2187	260.723	112.57	155.997	56.316
IST1	33.583	27.3186	20.7108	22.4683	21.9768	18.5807	15.3678	13.3495	16.0954	24.2245	14.9942	20.5983	23.36	26.5121	12.7567	14.3415	34.3004	39.4374	43.7032	19.0674	28.263	17.075	1.29466
GLB1L3	31.0115	4.07388	31.3086	44.8797	40.2811	35.0363	49.9423	55.6924	21.1536	65.3886	45.9756	33.3745	26.7643	64.425	36.5134	42.1907	32.3159	42.0411	50.6846	65.1795	29.7308	28.472	3.61581
CHCHD5	17.523	35.9665	28.686	32.7642	26.2799	24.7673	26.2249	28.334	39.1742	31.7231	10.6948	16.4673	19.7055	32.1625	2.82415	26.2203	42.8283	22.277	41.1275	2.70812	33.0625	19.2135	15.1884
FAM170A	1.13587	2.45253	1.40599	1.83273	3.04231	14.8588	1.07205	1.18397	1.08014	1.30431	2.32039	0.872781	0.867241	2.00677	1.00503	13.8827	1.67497	3.32038	2.52321	1.20782	4.11651	1.49039	5.3208
SH3PXD2B	5.42672	16.2957	17.6866	28.0482	10.1429	32.2295	2.25391	7.42367	13.0421	7.35386	18.4836	1.35054	17.2892	31.3067	20.5904	2.50872	21.7267	8.42466	47.2019	2.18136	19.8015	12.9515	8.41597
ZNF707	6.25645	3.24211	5.25794	4.72979	6.85612	5.13503	7.48191	2.21096	9.78053	30.0829	17.2749	5.33526	7.72886	9.26024	3.01901	7.34474	4.8268	7.06592	44.3432	3.20101	7.71426	25.7654	23.4046
DNMBP	8.50387	17.0325	6.38197	6.20885	1.39873	6.35436	1.51457	12.0776	0.452627	12.4677	0.592889	8.02151	1.18499	2.57703	9.15112	14.0559	20.3201	7.73972	6.99221	1.99581	15.9318	0.633844	13.9063
HBB	13.7877	7.63188	4.75634	36.4931	42.786	60.4434	6.22551	28.2932	16.3589	18.9721	7.37285	38.8497	12.8282	44.8224	30.7915	16.0637	27.4842	12.111	21.0403	9.5206	23.7676	14.8668	17.2236
ZNF292	11.2543	8.66316	6.13564	17.1465	11.8903	3.95658	1.67677	13.1021	9.19377	3.62702	4.71345	3.10314	13.2698	4.25101	2.50894	10.6426	17.692	1.83241	7.8853	10.4376	21.1334	14.4683	16.3963
ITGAX	27.0451	28.3342	3.17039	17.279	3.48631	41.8179	6.25176	8.5046	8.90728	3.63428	10.4663	15.5367	11.8441	3.84328	2.33231	9.52824	26.0908	10.7117	3.87967	18.9745	24.7641	15.7174	3.88875
ITGB8	3.92931	0.666885	0.854523	2.59377	5.40189	2.05007	2.35439	3.5331	14.4412	3.23305	1.54508	2.378	6.15765	4.8009	2.89064	4.88045	8.14479	4.2778	6.1091	4.66994	5.07375	4.07343	3.58994
RPS15	17.9658	6.22415	18.1496	16.2125	20.1823	17.6539	25.7989	3.26183	14.7647	15.6349	15.9716	19.1843	12.8647	18.507	21.0024	16.4031	14.9957	26.371	42.8346	40.333	19.0353	23.5396	2.58212
TBX5	4.03087	3.70146	6.11484	3.38952	9.80744	13.4301	10.0225	1.11247	2.3118	13.571	6.54239	1.14512	7.3588	2.99029	4.8454	16.2263	25.2693	12.7396	27.7787	1.55006	4.49126	10.1938	3.99032
CCDC160	0.781136	1.4256	1.62266	6.67843	4.59342	3.313	1.90485	1.16552	0.483267	16.3337	3.4261	15.0561	4.53542	2.4521	7.52205	5.7346	14.4146	11.7588	3.71242	9.3543	7.12687	6.30516	11.912
GPD1	3.70097	9.27253	3.09584	8.44115	9.21432	5.89209	1.59843	3.34436	1.25189	2.23987	14.3705	4.73882	1.25991	1.844	1.19315	4.30919	1.0819	2.12581	28.971	7.97911	12.548	3.13708	2.35756
OSBP	64.8449	44.5284	154.207	73.3813	39.1163	52.9879	113.727	89.8042	180.742	56.519	64.88	48.5622	49.5404	78.5153	107.589	123.556	27.6289	26.4755	37.744	219.418	43.679	51.3438	44.0104
