Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
ORAI1	0.907	0.527	0.938	-0.082	-0.262	-1.611	-0.243	-1.663	-0.85	-0.081	-0.25	0.021	-1.213	-1.009	-0.394	-1.912	-1.822	-1.438	-0.311	0.081
ORAI2	-0.623	2.051	-0.345	1.277	NA	0.377	2.058	2.541	-3.48	-0.269	-1.069	NA	-0.856	-0.199	0.26	-0.316	-1.806	-0.725	-2.631	-0.544
ORC1	-0.817	-2.156	-3.581	-1.994	-1.367	-2.042	-0.643	-1.061	-3.843	-1.856	-2.074	-2	-1.719	-1.397	-1.064	-1.749	-1.969	-2.361	-2.526	-2.3
ORC2	0.919	0.409	0.781	-0.084	1.443	-1.982	2.259	-0.711	-0.565	-0.695	1.902	-0.014	-0.533	-0.767	-0.922	1.426	0.496	-0.692	0.183	-0.344
ORC3	2.763	1.435	0.186	1.245	2.314	-0.828	3.867	-0.09	-0.026	-0.587	-0.459	0.588	-0.279	-1.066	0.045	-0.36	-0.16	0.492	-0.981	-0.176
ORC4	0.519	-0.034	1.059	-0.568	1.011	2.18	-2.927	0.303	-0.086	1.374	1.076	0.277	2.914	2.027	1.43	1.442	2.118	3.012	1.663	0.874
ORC5	0.526	-0.772	-0.206	1.912	-0.073	0.004	1.094	0.684	-1.353	0.483	1.598	-0.846	1.238	1.044	0.716	1.153	0.835	2.041	0.279	0.698
ORM1	-3.725	-3.891	-4.694	-1.661	-1.448	-2.48	-1.299	-3.498	-2.752	-3.476	-2.992	-3.425	-4.619	-3.518	-5.02	-0.879	-4.404	-4.831	-3.93	-2.629
OS9	2.265	2.345	NA	NA	NA	NA	NA	1.143	1.908	2.047	NA	NA	2.14	0.785	1.057	2.559	1.093	0.149	2.737	-0.24
OSBP	0.355	-0.397	-1.437	0.464	-0.839	-0.252	2.568	0.535	-1.447	-0.193	-0.602	-1.242	-1.047	-0.53	-0.212	-0.694	-1.617	-1.104	0.208	-0.683
OSBP2	-0.831	0.171	0.474	0.728	-1.163	-0.24	1.562	NA	-1.769	-0.36	-1.031	0.019	-3.562	-0.564	-1.293	1.204	-0.181	0.13	-1.876	-0.868
OSBPL10	3.29	3.41	3.343	3.659	2.886	2.205	-0.52	1.335	3.292	2.251	1.312	2.839	1.027	0.991	0.917	2.386	1.693	0.601	1.247	1.305
OSBPL11	-1.104	0.081	0.663	0.484	0.766	-0.866	NA	-0.352	-1.377	1.163	1.293	0.04	1.888	1.551	0.887	1.575	1.641	2.15	1.149	1.663
OSBPL1A	-1.669	-2.214	-1.06	-0.546	-2.114	-0.519	-0.683	0.398	-1.126	-1.19	-0.928	-0.484	-2.345	-1.001	-1.198	-0.811	-3.257	-1.366	-1.141	-0.494
OSBPL2	-0.238	-0.005	0.046	-1.89	-0.515	-0.705	-0.544	-0.306	-0.102	-0.726	0.175	-0.428	-0.696	-0.992	-0.948	-0.678	-1.262	-1.422	-0.152	-0.595
OSBPL3	-0.025	-0.721	-0.216	-1.257	-0.376	-0.344	-4.709	-0.534	-0.491	-1.26	-0.847	0.523	-0.302	-0.752	-0.948	-0.338	-0.524	-0.454	-0.502	-0.215
OSBPL6	-3.5	-2.959	-2.219	-3.245	-3.319	-3.71	-2.5	-1.776	-2.496	-3.639	-3.065	-2.624	-3.159	-4.064	-3.582	-3.405	-4.363	-3.333	-4.296	-3.182
