Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
A1CF	1.782	-0.818	-1.093	-1.751	0.848	3.052	-0.284	0.977	0.754	0.648	0.041	1.892	0.323	0.947	1.174	0.373	0.809	1.779	0.704	-0.198
A2M	-4.956	-4.666	-5.381	-5.63	-5.316	-5.361	-1.671	-7.288	-5.181	-6.232	-6.284	-4.652	-5.333	-6.4	-4.776	-5.55	-5.477	-6.228	-6.07	-5.325
A4GALT	2.371	2.176	6.05	0.73	5.571	5.684	10.316	1.692	8.518	4.632	3.238	2.252	5.731	3.732	3.852	1.657	-2.772	2.276	NA	1.315
AAAS	-2.128	-2.116	-2.295	-2.301	-0.616	-2.369	-4.852	-0.97	-2.496	-0.847	-2.993	-1.172	-1.766	-1.014	-0.832	-1.826	-2.469	-2.12	-2.267	-2.309
AADAC	0.298	-4.078	-0.121	-1.04	-1.607	NA	4.767	-0.014	-1.04	-1.836	0.776	2.393	-1.086	-0.578	-0.296	-1.494	0.11	-0.043	-4.496	-1.458
AADACL2	0.808	1.438	0.433	-1.072	-2.674	-0.29	NA	-0.24	-0.975	-1.168	0.282	-0.203	-0.324	-1.442	0.042	0.094	-1.287	-1.478	-0.597	-0.698
AADAT	-0.517	-0.425	-0.325	-0.205	0.791	-1.767	-0.951	-1.394	-0.655	-0.107	-0.956	-0.439	-1.581	-0.769	-0.447	-1.669	-1.541	-0.55	-0.973	-0.678
AAGAB	1.216	-0.644	-0.888	0.759	1.297	-0.775	2.429	1.457	1.519	-0.46	0.597	1.238	0.338	0.011	-0.505	1.61	0.955	-0.055	0.383	-0.163
AAK1	-2.963	0.563	-0.593	-0.055	NA	-3.248	NA	0.261	0.177	-0.123	-0.046	NA	-0.175	-0.049	-0.39	1.746	-0.486	0.156	-0.291	-0.66
AAMP	-2.301	-1.606	-1.911	-1.223	-1.139	-0.639	-2.223	-2.2	-0.908	-1.263	-2.201	-1.022	-1.938	-1.451	-0.981	-1.581	-1.84	-2.779	-1.312	-1.273
AANAT	0.786	-1.128	-0.453	1.685	3.041	1.471	2.574	0.942	-2.494	0.687	-1.81	1.232	0.776	0.715	1.077	0.421	0.849	0.248	0.741	-0.148
AARS2	0.833	-1.508	-0.004	-0.282	-0.109	-0.488	2.567	0.862	-0.337	-1.209	-1.604	-0.706	-1.001	-0.846	-1.085	-0.942	-0.321	-1.353	-0.892	-1.719
AARSD1	0.175	-0.308	-0.572	2.156	-0.465	1.063	NA	2.196	-0.618	0.882	1.075	1.018	1.176	0.61	0.321	0.895	0.642	1.519	0.414	0.632
AASDHPPT	-2.458	-1.553	-1.718	-3.099	-1.982	-0.36	-2.675	-1.007	-1.647	-1.489	-0.975	-2.679	0.086	-0.515	-1.041	-0.698	-1.323	0.539	-0.473	-0.591
AASS	-0.469	-6.327	2.646	0.778	0.623	0.754	NA	0.842	-1.713	-0.005	2.095	-0.686	-1.673	-0.847	-1.947	-0.159	NA	-1.322	NA	0.051
AATF	-0.558	-0.001	-0.244	0.541	0.721	-0.731	0.599	1.172	1.323	0.647	0.886	1.319	-0.216	0.871	0.991	0.415	-0.458	-0.906	0.394	0.549
ABAT	-0.854	-0.555	-0.073	0.335	0.54	0.001	3.184	0.238	0.157	-0.192	-1.547	-1.462	-0.285	-0.442	-0.365	0.17	-0.753	0.223	0.522	-0.207
ABCA1	-0.069	1.134	-0.733	2.743	3.015	1.692	1.8	0.974	-1.115	-0.805	3.005	2.191	-2.424	-0.211	-1.542	NA	-3.443	1.126	-1.102	-0.164
ABCA12	-0.209	-0.191	-0.854	-2.366	0.633	0.368	NA	2.517	-1.646	-0.533	-0.231	-1.078	-0.774	-1.204	-0.538	-0.677	-1.572	-0.683	0.835	-0.124
ABCA3	-2.62	-3.409	-3.283	-1.617	-2.249	-2.069	-2.415	-2.081	-2.698	-2.92	-3.382	-1.919	-3.784	-3.653	-2.676	-3.527	-3.344	-3.836	-5.644	-3.442
ABCA4	-0.862	-1.52	-1.276	-1.108	-1.209	-0.365	-1.803	0.021	-0.725	0.558	0.246	-0.826	-0.02	0.668	0.142	-0.28	-0.441	-0.299	-1.054	0.011
ABCA5	2.498	0.57	-0.612	-1.63	-1.51	1.783	NA	-0.255	-2.67	0.517	1.478	-1.157	2.013	0.838	0.612	2.198	0.794	1.736	0.99	0.267
ABCA7	-0.291	-0.011	0.067	0.066	-0.653	0.491	1.413	0.632	-0.169	0.35	0.532	0.308	0.065	0.011	-0.05	0.271	0.174	0.25	0.312	-0.156
ABCA9	-1.986	-3.36	-3.975	-3.705	-1.574	-4.552	-1.551	0.219	-1.988	-3.898	-3.638	-2.721	-4.569	-5.007	-5.307	-5.193	-2.823	-4.082	-6.899	-3.726
ABCB1	1.222	1.79	1.376	-0.202	0.552	0.409	-2.287	1.099	-0.562	1.196	0.377	-0.012	0.74	1.146	0.223	1.358	1.293	1.198	1.022	0.495
ABCB10	-1.918	-2.277	-0.46	-0.738	0.219	0.563	-3.379	-0.256	-2.176	-0.003	0.208	-0.597	0.745	0.693	0.236	0.108	0.646	1.66	0.4	-0.072
ABCB4	-0.818	-2.167	-1.025	-0.532	-1.65	-0.567	-3.082	0.388	-1.386	-1.109	-1.714	-2.104	-1.395	-0.983	-1.361	-0.327	0.377	-1.428	-0.621	-1.519
ABCB5	0.939	2.027	1.291	1.958	1.603	1.146	-0.731	-0.723	1.892	1.354	1	1.608	0.583	0.959	0.184	1.612	2.905	0.548	0.571	0.404
ABCB6	0.085	-2.319	-1.816	-0.316	-1.149	-1.34	3.372	-2.922	0.528	-0.561	1.362	-0.49	-1.371	-0.308	-1.415	-1.181	-0.707	-0.998	0.41	-2.509
ABCB7	-0.245	-0.799	0.125	-0.407	1.475	0.591	-7.367	0.493	1.684	-0.129	-0.198	-0.583	0.162	0.535	0.56	-0.213	0.004	0.246	0.323	0.342
ABCB9	0.656	-0.25	0.165	0.431	0.347	0.528	1.005	1.798	0.937	0.925	0.068	-0.776	1.535	0.794	0.838	-0.22	0.982	-0.208	0.678	-0.321
ABCC1	3.157	2.724	2.404	1.95	0.78	1.902	-2.147	1.822	1.747	1.315	1.824	1.457	2.304	1.139	0.819	1.387	2.348	2.404	2.03	1.663
ABCC10	-1.935	-1.785	0.155	-1.172	2.734	-0.015	-2.185	-0.178	-1.715	-1.324	0.964	-3.132	-1.621	-1.804	-1.036	-1.357	0.191	-1.068	-0.066	-1.709
ABCC11	1.311	-1.99	-0.021	0.261	0.226	-2.074	8.105	0.672	0.096	-0.891	-0.115	-2.897	0.347	0.049	-0.273	0.027	NA	-0.233	0.327	0.048
ABCC2	-2.623	-2.392	-1.592	-8.262	-2.413	-2.355	-3.707	-2.214	-2.996	-3.047	-2.578	-1.658	-1.841	-2.607	-2.698	-3.936	-3.989	-2.381	-2.947	-3.312
ABCC3	-1.443	-2.016	-1.667	-1.71	-3.885	-1.642	-0.468	-2.031	0.685	-3.721	-3.519	1.187	-1.755	-3.072	-1.767	-2.94	-2.375	-3.163	-3.481	-2.15
ABCC4	-0.675	-1.78	-1.075	-3.399	-3.032	-1.295	-0.467	-2.412	-2.747	-2.317	-3.241	-1.534	-0.942	-2.184	-1.967	-2.005	-2.057	-2.714	-3.914	-0.724
ABCC5	0.496	-2.946	-1.133	-4.702	-0.323	0.679	7.72	1.695	-0.831	0.161	-0.4	-5.754	-0.803	0.179	0.222	0.975	0.025	0.382	0.057	0.41
ABCC6	-1.427	-4.27	-0.965	-0.184	-0.855	-1.366	-0.892	-1.954	-1.63	-2.696	-3.656	-2.807	-1.4	-1.979	-2.257	-3.751	-2.915	-2.669	-2.615	-1.078
ABCC8	0.33	-0.083	-0.009	-1.536	-1.075	0.388	12.125	0.693	0.698	0.34	-0.525	-0.045	0.039	-0.042	0.993	0.177	0.312	-0.688	-0.385	-0.111
ABCD3	3.438	3.126	2.735	1.454	1.16	1.177	-4.421	1.864	2.884	1.629	1.294	3.073	1.75	1.513	2.384	1.123	0.972	0.86	1.982	3.788
ABCD4	-1.415	-1.063	-1.772	-1.656	-1.237	-0.966	-5.666	-0.841	-2.392	-0.941	-0.84	-1.715	-0.822	-0.981	-0.59	-1.629	-0.93	-1.017	-1.073	-0.637
ABCE1	-1.285	-1.743	-2.404	-1.175	-2.143	-0.272	-1.766	-0.648	-1.436	-1.352	-1.521	-1.929	0.537	-0.116	-1.277	-1.267	-0.811	-0.436	-1.091	-0.946
ABCF1	-1.576	-0.826	-1.274	0.042	0.55	-1.738	-0.024	-1.206	-0.134	0.001	0.091	0.233	-1.322	-1.413	-0.3	-1.527	-3	-2.478	0.19	-0.585
ABCF2	-2.273	-2.206	-2.334	-2.16	-2.228	-2.173	-0.795	-2.032	-2.764	-2.387	-2.294	-2.491	-2.92	-1.98	-2.431	-2.863	-3.266	-3.849	-2.452	-2.386
ABCF3	-0.082	0.657	-0.11	-1.222	-0.495	0	-8.032	2.21	0.486	0.249	0.329	0.4	-0.779	0.187	0.268	-0.421	-0.474	-0.081	-0.238	-0.466
ABCG1	0.666	0.815	1.641	-0.352	0.986	1.305	-5.132	0.601	-0.163	0.091	1.317	-0.233	1.54	0.409	0.683	0.626	1.997	2.335	1.27	1.574
ABCG2	-1.667	0.299	0.769	-1.219	-4.747	-2.458	-0.398	-1.322	-0.676	-2.161	-2.696	-1.707	-1.807	-2.937	-2.209	-0.33	-1.916	-2.298	-3.311	-3.354
ABCG8	-1.752	-2.825	-2.453	-0.166	0.407	-0.957	NA	-1.425	0.784	-0.634	-2.406	NA	-2.382	-0.6	-2.41	1.09	NA	-1.157	-2.177	-0.399
ABHD1	3.303	2.43	0.658	NA	0.259	1.345	2.255	-1.084	-1.829	0.364	0.185	-0.58	0.321	0.12	0.158	0.768	-0.059	0.08	-1.231	-0.273
ABHD10	1.749	1.918	1.65	-0.227	0.651	2.349	-2.289	2.379	-0.071	1.559	1.869	0.449	2.145	2.271	2.543	2.367	2.965	3.237	1.88	2.205
ABHD11	-2.007	-1.959	-1.122	-3.464	-1.314	-1.177	-4.285	-0.593	-1.716	-1.306	-1.432	-1.814	-1.794	-1.221	-0.385	-1.826	-2.546	-1.425	-1.824	-1.077
ABHD12B	0.794	0.916	1.23	0.929	1.054	0.528	NA	0.207	0.944	1.208	2.3	1.657	0.423	0.77	0.661	1.33	1.35	1.304	1.396	1.416
ABHD13	-3.084	NA	-0.217	NA	-0.853	4.363	2.438	-1.031	1.947	-0.856	1.575	0.94	2.626	1.411	1.669	0.225	NA	2.051	1.823	2.28
ABHD14A	1.437	-0.129	-0.606	-1.163	-0.427	-0.408	2.406	-0.61	-0.007	0.427	-1.014	-0.302	-0.079	0.399	0.718	-0.236	0.167	-0.851	0.186	-0.06
ABHD16A	0.648	-0.407	-0.462	1.354	0.483	-0.257	4.088	0.157	1.311	-0.304	0.063	-0.916	-0.085	-0.043	-0.279	-0.522	0.098	0.011	0.123	-0.179
ABHD2	-0.651	0.287	0.412	-2.246	1.585	-0.109	0.277	0.59	-0.361	0.88	1.407	0.154	-0.88	0.032	0.21	-0.871	-2.43	-0.787	0.728	0.455
ABHD3	-1.713	-4.047	0.043	1.372	1.858	-1.163	1.048	-1.843	-0.599	-0.488	-2.327	-2.278	-0.739	-0.859	-0.171	-2.292	-0.384	-0.06	-1.082	0.116
ABHD4	-2.239	-2.136	-2.05	-4.312	-2.105	-3.908	-2.607	-2.756	-2.679	-2.66	-3.81	-2.49	-3.587	-3.745	-3.788	-2.225	-4.072	-3.981	-3.171	-3.167
ABHD5	1.064	1.107	1.549	0.735	-4.243	0.976	NA	1.339	0.303	1.348	0.744	2.09	0.492	1.018	0.584	0.895	2.656	1.444	1.064	1.515
ABI1	2.503	2.874	2.445	1.137	1.705	2.641	-1.636	0.698	1.81	1.835	2.654	1.599	2.678	2.477	1.898	1.771	1.891	2.813	3.158	2.433
ABI2	-4.496	-3.757	-3.924	-4.024	-2.033	-3.448	-3.412	-0.372	-4.41	-3.352	-4.347	-4.827	-4.653	-3.312	-2.626	-2.12	-8.283	-3.661	-4.158	-3.504
ABI3	4.257	3.94	2.911	3.322	4.421	0.552	0.091	1.468	4.492	3.971	3.014	3.128	2.06	2.839	3.471	3.292	2.401	2.022	2.643	2.943
ABI3BP	0.28	0.626	-0.509	1.094	-0.244	0.679	NA	-0.356	0.86	-0.043	-0.117	-0.719	-0.053	0.102	0.052	-0.105	-0.068	-0.334	-1.137	-0.264
ABL1	-2.446	-2.679	-2.607	-3.442	-3.021	-3.198	0.422	-3.729	-3.208	-3.552	-3.423	-3.365	-3.871	-4.137	-3.966	-3.788	-4.063	-4.649	-3.985	-3.962
ABL2	0.084	0.144	0.436	-3.305	0.019	-0.771	-3.883	-0.112	0.327	0.252	-0.06	-0.061	-1.131	-0.9	-0.268	0.039	-0.13	-0.613	0.366	-0.154
ABLIM1	2.326	2.689	2.829	0.881	-0.538	0.989	0.196	0.459	0.932	1.596	1.635	2.237	0.789	0.833	0.507	0.565	1.235	0.098	0.589	2.034
ABR	-1.197	-0.729	0.337	0.351	6.52	-0.554	-3.002	-1.189	-0.292	-0.456	0.225	-0.413	-1.848	0.366	-0.85	0.152	-0.659	-0.163	0.381	-1.044
ABT1	1.137	1.387	2.812	2.556	0.745	1.017	1.912	0.632	1.241	1.117	0.778	1.263	0.704	1.645	0.545	1.592	1.253	0.617	0.563	0.998
ABTB1	2.39	2.723	4.914	0.64	1.548	-0.051	-2.19	0.738	3.205	2.181	1.561	2.943	0.808	1.789	1.058	0.926	2.376	1.429	2.769	2.149
ABTB2	-1.56	-1.169	0.036	2.009	NA	-0.988	NA	-1.057	0.286	0.425	0.662	-0.678	-1.254	-0.982	-0.694	NA	0.244	-0.239	0.372	-1.121
ACACA	1.991	-0.438	-0.574	1.452	-0.747	0.17	0.063	0.625	0.471	-0.616	0.214	-0.066	-0.606	-1.329	-1.467	0.194	2.305	-0.522	0.396	-0.703
ACACB	0.402	-0.399	0.222	-0.333	1.003	0.357	0.041	-0.558	-0.358	0.428	-0.39	0.123	-0.074	0.04	-0.096	-0.314	0.511	0.068	-0.398	-0.022
ACAD10	-0.197	0.187	2.13	-1.047	-0.892	-1.462	1.481	-0.406	-1.038	-0.585	-1.038	-0.77	-0.165	-0.433	-0.755	-0.518	-0.25	-0.7	-1.468	-0.252
ACAD8	NA	3.2	NA	1.127	4.096	NA	NA	5.143	NA	NA	3.552	NA	3.36	4.157	2.716	2.197	NA	NA	NA	0.279
ACAD9	-1.742	-1.538	-1.808	-2.139	-1.304	-1.679	-0.039	-0.86	-1.102	-0.403	-1.422	-1.309	-1.391	-0.406	-0.145	-1.343	-1.241	-1.988	-1.076	-0.974
ACADL	1.265	-0.073	1.956	0.331	NA	3.827	7.852	-0.917	-0.757	1.951	4.546	4.295	2.697	0.919	1.197	4.334	1.417	0.581	-0.209	-0.15
ACADM	-0.899	-0.176	-0.437	0.15	-0.228	2.888	-0.657	2.197	0.118	1.236	1.419	0.083	3.424	2.706	2.065	1.255	2.602	2.622	2.381	0.177
ACADS	-0.943	-1.229	-0.594	-0.392	-1.552	-1.927	-2.821	0.365	-1.716	-0.067	-0.088	-0.22	-0.391	-0.654	0.64	-0.818	-1.547	-0.619	-1.037	0.249
ACADSB	-1.845	-2.032	-3.718	-0.885	-2.446	0.719	NA	0.087	-2.077	-0.087	1.166	0.411	-0.15	0.868	-0.049	1.373	-0.825	0.703	-0.228	-0.049
ACADVL	-2.548	-2.067	-1.692	-2.299	-1.114	-1.532	-0.454	-1.036	-0.814	-0.065	-1.263	-0.362	-0.571	-1.025	0.034	-1.02	-0.785	-2.014	-0.913	-1.326
ACAN	0.606	0.597	-0.508	1.025	0.739	-1.26	NA	0.472	0.118	-0.486	-1.418	0.141	-1.08	-0.806	-1.577	1.859	NA	-0.784	0.041	0.035
ACAP1	-0.72	-1.009	0.389	0.071	1.368	-1.108	NA	0.647	-1.114	-1.813	-0.419	-1.291	-1.375	-0.965	-3.287	-0.059	NA	-3.719	-0.979	-1.135
ACAP2	5.231	5.198	5.801	3.468	3.201	4.452	-3.554	2.961	3.843	3.021	NA	3.071	4.81	3.483	3.362	3.94	3.667	5.636	NA	4.887
ACAP3	0.725	0.324	0.07	0.717	0.242	0.304	-1.768	0.634	0.11	1.039	0.704	0.956	0.588	1.013	0.695	0.373	0.441	0.249	0.588	0.655
ACAT1	-2.838	-4.191	-3.446	-2.079	-1.678	0.16	-2.656	-0.541	-3.062	-1.815	-1.785	-3.132	-0.311	-0.309	-0.375	-1.454	-0.461	0.331	-1.112	-2.152
ACAT2	-2.832	-2.404	-2.869	-2.943	-2.457	-2.184	-1.213	-1.587	-1.68	-1.751	-2.15	-2.636	-1.23	-0.576	-1.382	-2.305	-1.505	-1.547	-2.122	-1.594
ACBD3	1.132	0.495	0.902	2.387	1.143	1.578	NA	0.638	1.175	0.285	0.39	1.337	0.837	-0.019	-0.155	1.222	0.86	0.611	0.331	-0.488
ACCS	NA	-0.865	-0.235	-0.635	-0.607	2.769	2.261	-1.231	1.706	-0.338	0.449	-0.708	-0.383	-0.779	-0.129	1.133	-1.599	-3.051	0.333	-0.222
ACD	-1.464	-1.401	-1.479	-0.161	-1.107	-0.509	0.355	-1.642	-0.698	-1.156	-1.913	-0.726	-1.756	-1.65	-1.695	-1.984	-2.293	-2.983	-1.687	-1.554
ACE	0.68	-0.755	2.315	NA	1.186	2.165	3.962	-0.663	-0.508	0.502	-1.34	0.116	0.543	0.968	0.784	1.431	0.878	1.234	3.728	0.4
ACER3	1.613	-0.761	-1.208	-3.511	-6.006	-1.154	NA	-0.924	-1.19	-0.691	-0.385	-0.071	-0.966	-1.19	-0.46	-2.262	-0.537	-0.312	-0.612	-0.451
ACHE	3.027	3.245	2.898	3.134	2.561	0.844	NA	2.393	3.611	2.254	-0.695	3.233	0.668	0.775	0.888	3.62	0.629	0.042	1.985	0.52
ACIN1	-1.467	-3.756	-3.558	-2.465	-1.785	-2.227	-1.244	-2.376	-2.891	-2.072	-0.748	-1.912	-2.782	-1.796	-2.227	-2.287	-1.545	-2.075	-2.483	-2.223
ACLY	-5.108	-4.528	-5.142	-5.659	-5.68	-4.534	NA	-2.41	-4.127	-4.947	-4.498	-5.147	-4.565	-4.674	-4.27	-5.82	-4.846	-5.794	-5.196	-3.944
ACMSD	-0.485	-1.028	-2.569	-1.731	1.025	0.667	NA	-1.671	0.25	-0.188	-2.973	-0.048	0.779	-0.281	-0.242	0.783	0.4	-0.537	-0.415	0.06
ACO1	-3.485	-4.277	-5.255	-5.928	-5.102	-6.217	-2.508	-3.022	-4.055	-5.031	-5.098	-3.485	-5.425	-5.22	-4.914	-4.959	-4.817	-5.792	-4.073	-4.638
ACO2	-2.598	-1.959	-1.632	-1.41	NA	-1.079	-1.262	-0.068	-1.116	-0.077	-1.367	-1.104	-1.102	-0.407	0.056	-1.096	-1.787	-2.26	-1.435	-1.445
ACOT1	-1.032	-1.421	-1.794	-3.318	-2.311	-2.094	-10.332	-0.746	-1.792	-0.708	-1.383	-1.151	-1.334	-1.274	-0.636	-1.051	-1.784	-1.539	-1.777	-1.11
ACOT12	0.522	2.669	0.894	-2.267	-2.548	1.208	1.658	0.484	0.185	0.216	0.866	2.184	0.559	-0.247	-0.653	0.132	0.492	1.127	0.266	-0.331
ACOT13	-2.871	-3.453	-3.893	-2.785	-1.873	-2.554	0.142	-1.523	-2.449	-1.623	-2.38	-3.261	-2.036	-1.058	-0.944	-2.045	-1.667	-1.236	-2.801	-2.254
ACOT2	-2.782	-2.505	-3.996	-5.42	-1.42	-4.3	0.044	-2.124	-1.851	-2.838	-2.438	1.89	-2.534	-1.983	-3.021	-4.319	-2.259	-3.795	-4.264	-1.906
ACOT4	-1.017	-1.789	-1.863	-0.939	-0.226	-1.358	-1.814	-0.9	-0.678	0.141	-0.446	-1.354	-0.138	-0.034	0.661	0.182	-0.319	0.741	-1.582	-0.465
ACOT7	-3.643	-3.769	-3.077	-2.953	-0.968	-3.022	0.252	-0.915	-3.076	-2.483	-2.916	-2.618	-2.369	-1.443	-2.049	-1.736	-3.545	-2.05	-2.425	-1.654
ACOT8	-0.738	-0.684	-0.804	-3.326	2.431	-0.156	-0.413	-0.136	-1.454	0.2	-0.712	-0.775	-0.206	0.884	0.508	-0.243	-0.584	0.942	-1.731	-0.015
ACOX1	0.507	0.612	0.894	-1.354	-0.045	0.227	-3.707	0.784	0.198	0.195	1.244	-0.205	-0.435	0.327	0.581	0.596	0.448	0.507	0.892	0.402
ACOX2	-2.074	-1.902	-2.221	-2.221	-2.284	-1.417	NA	-1.845	-1.518	-2.61	-1.716	-2.291	-3.744	-3.77	-3.306	-4.507	-3.566	-1.175	-3.126	-3.017
ACOX3	-1.943	-0.797	NA	-2.342	-1.32	-0.402	1.951	-2.345	0.433	-0.356	-2.43	-0.435	-1.325	-0.114	-0.109	-1.235	0.691	-1.535	-3.396	-0.548
ACP2	-0.944	-0.912	-1.156	-0.472	-0.944	-1.167	2.53	0.242	-0.585	-0.97	-0.39	-0.986	0.418	0.529	-0.369	-0.709	-0.011	0.073	0.18	-0.282
ACP5	4.349	0.345	4.589	NA	2.426	NA	3.322	NA	NA	6.901	2.993	2.781	1.829	0.916	3.026	6.958	5.204	3.399	2.968	3.368
ACP6	-2.011	-3.473	-2.384	-2.811	-2.352	-1.671	-1.604	-1.169	-2.884	-2.192	-1.844	-2.691	-2.409	-1.712	-1.296	-1.727	-2.279	-1.269	-1.765	-1.816
ACRBP	6.695	5.589	7.064	3.362	4.022	1.592	NA	0.867	4.817	3.598	1.471	4.722	0.153	0.889	3.714	2.14	0.904	1.535	2.466	5.727
ACRV1	0.085	-4.725	-0.619	0.793	0.042	-0.672	NA	-0.413	1.655	-0.58	-0.183	0.894	-0.694	0.501	0.405	0.46	0.153	0.409	-2.38	0.466
ACSF2	-1.012	-1.04	-1.855	-2.069	-2.901	-1.86	-2.95	-0.363	-1.15	-0.944	-1.217	-2.368	-1.069	-0.81	-0.503	-0.594	-0.311	-1.639	-0.896	-1.031
ACSF3	-1.596	-0.631	NA	-0.655	-0.241	-0.268	NA	0.495	0.483	-0.263	-1.241	0.08	0.241	-0.019	-0.244	0.725	-0.968	-0.309	-0.211	-0.217
ACSL1	5.654	5.219	5.465	2.753	5.15	3.843	-0.28	3.799	4.354	5.398	6.791	5.228	4.309	4.055	3.485	3.326	2.907	5.646	7.588	5.521
ACSL3	-2.32	-1.934	-2.115	-2.006	-2.796	-1.903	-0.235	-1.566	-1.759	-2.602	-1.261	-3.094	-1.913	-1.31	-1.92	-2.265	-1.286	-2.651	-1.36	-2.201
ACSL6	-0.938	-1.146	0.944	0.892	-1.345	0.051	3.035	-0.652	0.624	0.306	-0.695	1.259	-0.027	2.317	0.842	0.119	-0.009	0.651	0.814	0.825
ACSM2B	NA	-1.061	1.611	-1.705	-3.32	1.414	NA	-0.967	-2.889	-0.09	0.623	-0.33	-1.978	-0.315	-1.787	2.241	0.641	-0.404	1.658	0.019
ACSM3	-0.895	-1.516	-2.351	-2.604	-2.754	-2.895	1.072	-1.111	-3.131	-3.879	-3.042	-3.518	-3.53	-3.185	-3.32	-3.403	-2.256	-2.152	-2.181	-3.847
ACSS1	0.266	-0.609	0.362	-0.407	-0.2	1.026	0.947	0.883	0.272	1.529	0.221	1.038	1.792	1.571	1.716	2.363	1.65	-0.477	0.628	1.067
ACSS3	-2.449	-1.697	-1.843	-0.351	-1.531	-2.024	-3.781	-1.045	-0.633	-1.752	-2.297	-1.691	-3.014	-1.398	-3.376	-2.315	-2.264	-2.559	-1.764	-1.991
ACTA1	-2.623	-0.126	1.644	-0.065	0.179	-0.184	-1.227	0.078	-0.187	-0.937	0.452	-0.372	0.054	-0.461	0.344	1.883	-0.641	-0.263	-1.808	0.06
ACTA2	0.611	1.805	0.593	-0.799	0.738	-0.487	-0.242	0.783	0.624	0.875	-0.245	0.96	-1.176	-0.18	0.187	-0.571	-1.071	-1.061	0.272	0.736
ACTB	-2.656	-2.311	-2.698	-2.884	-2.992	-3.941	-0.431	-3.447	-1.385	-3.359	-2.185	-1.958	-3.426	-3.28	-3.082	-3.36	-3.599	-5.003	-2.636	-1.847
ACTC1	-0.616	-0.043	-0.828	-0.916	-1.46	-0.532	-0.631	-1.251	-0.657	-1.08	-0.52	-1.158	-1.24	-0.55	-1.034	-0.92	-1.115	-2.473	-0.747	-1.446
ACTG1	2.764	4.1	3.032	NA	1.537	7.224	NA	NA	4.411	NA	2.267	2.989	NA	4.008	2.99	6.12	NA	1.398	1.588	2.488
ACTG2	-3.669	-4.391	-4.044	-4.565	-3.647	-4.928	-1.693	-3.064	-0.988	-3.556	-5.638	-4.804	-3.075	-3.334	-3.855	-4.062	-3.549	-3.835	-3.756	-2.887
ACTL6A	-1.614	-1.276	-1.443	-2.054	-2.065	0.159	-3.543	-0.486	-1.79	-0.89	-0.379	-0.735	0.346	0.422	-0.009	-0.369	-0.532	-0.151	-0.511	-0.412
ACTN1	-2.598	-2.813	-2.158	-1.289	-1.281	-4.466	NA	-3.551	-1.698	-2.907	-2.551	-1.935	-4.563	-5.596	-4.163	-4.181	-5.894	-4.966	-2.958	-2.65
ACTN2	-1.047	0.88	-1.52	-0.346	-1.141	-2.042	NA	1.215	-2.336	-0.203	-0.089	0.204	0.042	0.148	-0.569	0.348	1.123	0.085	0.074	-0.492
ACTN3	0.64	0.676	0.247	0.926	0.975	-0.537	-0.715	-0.215	0.379	-0.87	-1.009	0.721	-0.567	-2.203	-2.011	-1.316	0.417	-1.569	-0.82	-0.267
ACTN4	-1.829	-1.509	-1.208	-2.868	-1.653	-2.894	-0.993	-1.261	-1.105	-1.972	-1.894	-1.519	-3.142	-2.934	-1.746	-2.027	-2.797	-3.082	-1.723	-1.358
ACTR1A	0.244	-0.323	0.934	1.306	2.676	2.906	5.986	0.469	0.881	1.382	0.561	2.79	2.678	2.47	2.538	2.384	1.908	1.206	1.828	0.926
ACTR3B	-1.382	-2.386	-1.665	-0.619	-1.696	-0.429	-1.453	-1.745	-0.542	-1.369	-1.416	-1.22	-1.609	4.893	-0.459	-1.388	-2.302	-2.346	-2.722	0.636
ACTR6	1.595	2.053	1.95	0.756	1.129	1.829	5.553	3.416	1.575	1.357	2.642	1.251	2.636	2.17	0.98	1.427	4.662	3.898	2.712	2.914
ACTR8	-0.929	-1.678	-1.492	-2.438	-3.614	-1.249	-0.585	-0.589	-1.827	-2.225	-2.454	-2.07	-2.086	-2.171	-2.411	-2.701	-1.922	-1.897	-2.188	-1.666
ACVR1	0.753	-0.458	-0.021	-1.38	-1.064	-0.435	-0.517	0.784	-1.394	-1.04	-0.97	-0.614	-1.482	-1.534	-1.243	-1.783	-0.663	-0.524	-0.831	-0.645
ACVR1B	0.909	1.953	1.087	2.697	1.279	1.729	-1.718	2.377	1.403	1.352	1.086	1.372	0.534	1.189	0.58	2.438	1.757	1.147	0.699	0.611
ACVR2A	-3.385	-5.201	-4.478	-1.531	-2.926	-1.259	NA	-2.185	-1.603	-2.89	-2.779	-4.994	-3.698	-2.336	-2.691	-2.731	-2.365	-2.598	-4.032	-2.337
ACVR2B	-4.757	-6.06	-4.203	-6.853	-3.724	-4.93	-4.437	-4.699	-5.541	-5.584	NA	-5.122	-5.619	-5.618	-5.577	-6.857	-3.654	-5.643	-4.95	-5.78
ACVRL1	0.925	2.652	2.053	2.634	1.583	1.962	7.924	-0.066	2.382	1.941	1.771	1.739	0.915	1.675	1.062	2	1.48	1.862	1.372	0.607
