Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1CF	0.75405882352941	0.59795	1.13261317091953	0.269355197537658	0.621000497649014	-5.45892592412335
A2M	-0.814803921568628	-4.36925	-1.56550593418443	0.13148323114756	0.460833785257319	-4.92710986806038
A4GALT	1.08578431372549	-2.17575	1.93449288470336	0.0657818910823305	0.341677352353394	-4.36900756466399
AAAS	0.225607843137254	-1.9879	0.374829374420041	0.711312741444823	0.90276193934015	-6.00650590403808
AADAC	0.866458333333334	-0.570684210526316	0.734140622886047	0.470830923039762	0.781831695641434	-5.80757648030317
AADACL2	-1.644875	-0.492157894736842	-3.41678135940786	0.0025425956191295	0.0824413530558678	-1.50980111987568
AADAT	-0.39478431372549	-0.7579	-0.929004931905258	0.362790161736546	0.704991142946451	-5.65684423163177
AAGAB	0.730921568627451	0.51595	1.27958630100849	0.213786003138019	0.562364229468306	-5.29462572626807
AAK1	1.3148431372549	-0.43505	2.45299275774484	0.0224000329033316	0.210220079686761	-3.45355010683245
AAMP	0.411509803921569	-1.58955	1.04085887965356	0.309045742627981	0.657949165248406	-5.55249009464949
AANAT	-1.12505882352941	0.5607	-2.15848977806757	0.0418607627643159	0.279724746395471	-3.99025612192854
AARS2	-0.330431372549019	-0.5072	-0.525059583496762	0.604700351108697	0.854749298135624	-5.94019463887978
AARSD1	1.07975	0.674263157894737	2.2646226087847	0.0340311343003084	0.252423271379613	-3.80459654252281
AASDHPPT	0.737372549019606	-1.2829	1.2539806155727	0.222778202793132	0.573449573243205	-5.32449843758948
AASS	-1.13233333333333	-1.17315	-1.61563136624362	0.120172521528976	0.44131040231583	-4.85656068266128
AATF	0.74513725490196	0.3657	1.71342240826937	0.100442869672485	0.409979254317119	-4.71398994728623
ABAT	-0.58743137254902	-0.84665	-1.58471265797274	0.127049064525892	0.453644117403186	-4.90028385306703
ABCA1	0.858499999999997	4.92733333333333	0.849905576462662	0.431436505846737	0.754966384314451	-5.14462698902346
ABCA12	-0.470980392156863	-0.207	-0.952885775036235	0.350818036129479	0.695286709003143	-5.6354752762274
ABCA3	0.0816470588235282	-3.6566	0.155588599187216	0.877750900208073	0.965290340688206	-6.06388168106129
ABCA4	0.83792156862745	-0.5071	1.9410430250708	0.0649388102455627	0.340556923629331	-4.35833200531237
ABCA5	0.735229166666667	-0.0215263157894737	1.26077657420893	0.220962396207087	0.571979951294394	-5.3123144324561
ABCA7	0.304627450980392	0.1806	0.910461794860743	0.372272702362191	0.711726203651829	-5.67309192431755
ABCA9	-0.482058823529412	-3.51675	-0.501646898596306	0.620810804440142	0.863288803307723	-5.95195485531305
ABCB1	-0.98943137254902	0.62165	-1.83213863669044	0.0802605625722419	0.371570457115527	-4.53250280971763
ABCB10	1.12466666666667	-1.0367	2.71945692083043	0.0123985313412482	0.162534816350212	-2.93609584225283
ABCB4	0.218254901960785	-1.15115	0.408175024145889	0.687020581270871	0.891478129446841	-5.99366644155636
ABCB5	-0.426470588235293	1.0565	-0.758341006567914	0.456152161077784	0.771531258834729	-5.79481059442332
ABCB6	0.785588235294118	-0.68225	0.935902866268982	0.359304273003035	0.702227471181051	-5.6507231126498
ABCB7	0.63621568627451	0.07545	1.48450551259928	0.151611804692973	0.487601478170768	-5.03736541268045
ABCB9	0.359137254901961	0.4956	0.816269497333672	0.422942060749195	0.749489466845459	-5.75091328783773
ABCC1	-1.31845098039216	0.01065	-3.00928617101167	0.00637091650808217	0.121083729018576	-2.34566385070013
ABCC10	0.233431372549019	-1.15425	0.493068260387204	0.626763409997273	0.865634779541688	-5.95613280642576
ABCC11	0.463020833333333	0.156578947368421	0.362697599447196	0.720388379822098	0.907049914351765	-6.00639752848622
ABCC2	-0.911843137254905	-2.9774	-1.10153810079319	0.282358401052966	0.633380775914371	-5.49140405652807
ABCC3	-0.397627450980392	-2.04665	-0.488262845285244	0.630109241161268	0.866810992263247	-5.95844235142459
ABCC4	-0.996921568627451	-2.02405	-1.73631999107653	0.0962431880122509	0.402632000230625	-4.67968920658995
ABCC5	-1.14639215686275	-0.6981	-2.37390565596507	0.0265795830719064	0.22619421405107	-3.60160889238929
ABCC6	0.179254901960785	-2.0683	0.265995220473709	0.792675866754453	0.936078083862	-6.04087911250363
ABCC8	0.588784313725489	0.5798	0.363813832293099	0.719408389944428	0.907034040895285	-6.01051024468111
ABCD3	-1.6593137254902	1.68925	-1.76483888772946	0.0912231157446348	0.391090183679691	-4.63649205002984
ABCD4	0.0088431372549018	-1.40915	0.0130505011652646	0.989703041072739	0.997617320496485	-6.07578053461806
ABCE1	0.772490196078431	-1.15405	1.71464682496925	0.100214411590315	0.409673403137641	-4.7121644406421
ABCF1	-0.57113725490196	-3.6978	-0.982301976375224	0.336442550118555	0.683640382934268	-5.60846996886209
ABCF2	-0.168470588235294	-2.4142	-0.406704072672732	0.688085152202785	0.89251316994674	-5.99425553292601
ABCF3	-0.630235294117647	-0.3807	-0.557721577416475	0.582565979179488	0.845446737257648	-5.92291627323936
ABCG1	-0.540725490196078	-1.40295	-0.800780927830376	0.431670533596984	0.754966384314451	-5.76294839586259
ABCG2	-1.89127450980392	-1.80725	-2.71888603297579	0.0124145364036346	0.162534816350212	-2.93723254946795
ABCG8	1.45533333333333	-1.14482352941176	2.14473009374713	0.044837436811623	0.287407670298133	-4.01870518937789
ABHD1	-2.08039583333333	0.378421052631579	-3.32129676795159	0.00318505389789446	0.0886206191464471	-1.71271378256342
ABHD10	-0.226333333333334	1.57995	-0.288221424993607	0.77582732387302	0.928039173916893	-6.03479995448319
ABHD11	-0.0215882352941187	-1.71435	-0.037777792912965	0.970199513779798	0.99284356155591	-6.0751580478498
ABHD12B	0.1123125	1.07457894736842	0.302562660816474	0.765144456903607	0.923954328349589	-6.02613368965713
ABHD13	3.02436666666666	1.01805882352941	2.86279346901249	0.0098185219517368	0.146154579793014	-2.61904127354768
ABHD14A	0.599862745098039	-0.36745	1.2743346973891	0.215607116003597	0.565019251397849	-5.30079471539324
ABHD16A	-1.13980392156863	0.0265	-1.92883277478823	0.0665181566676757	0.342899469934511	-4.37821228116661
ABHD2	-0.0963529411764724	-0.0659	-0.14987251209596	0.8822064799264	0.966108254321324	-6.0647455413331
ABHD3	1.3238431372549	-0.7804	1.66174056022403	0.110497732022737	0.426340455667704	-4.79013852354924
ABHD4	-1.09733333333333	-3.0744	-2.46333756420778	0.0219008165799531	0.20838143964133	-3.43398476519268
ABHD5	-1.2113137254902	1.80605	-1.82468325406144	0.0814159806762484	0.374037686985445	-4.5441624433824
ABI1	-0.750745098039216	1.9692	-1.18768880286184	0.247397743150638	0.597949964870204	-5.39940559311689
ABI2	-1.34870588235294	-2.2814	-3.28680413669768	0.00331011138314768	0.0909561040934493	-1.75933285863656
ABI3	-0.98913725490196	2.8619	-1.42115259673959	0.169045160110973	0.510009533280932	-5.1202815283373
ABI3BP	-0.173145833333334	-0.0134736842105263	-0.434767019979765	0.668084246835939	0.883718718493275	-5.97811147622558
ABL1	-1.06623529411765	-0.5003	-2.69753440189819	0.0130273493266524	0.166231505111597	-2.97966520162119
ABL2	-0.908098039215685	0.12845	-1.72874402883046	0.0976158010640258	0.404308607322916	-4.69107592492105
ABLIM1	-1.73013725490196	1.14405	-3.86695895480299	0.000812431116541944	0.0514065598775163	-0.49022325836328
ABR	1.42858823529412	-2.8577	3.0905282502039	0.00526774953240794	0.112800212639752	-2.17588720504902
ABT1	-0.650549019607842	1.2257	-1.57355084257011	0.129610578533548	0.45722906257954	-4.91590497761114
ABTB1	-2.28429411764706	2.25135	-3.5423716113119	0.00179114056417535	0.072747839071983	-1.20587149219064
ABTB2	0.682309523809525	-0.335764705882353	1.18623046328025	0.249856346969996	0.600937522559129	-5.38600931807523
ACACA	0.585372549019608	-2.6831	1.40130524760256	0.174826144741131	0.51724062704496	-5.14564495585589
ACACB	-0.0733529411764709	0.01265	-0.222087580916387	0.826258054539501	0.947702762966761	-6.05146373240896
ACAD10	-1.31243137254902	-0.4089	-2.70177692000391	0.0129033556651907	0.165418010725427	-2.97124656390472
ACAD8	-0.621784313725489	1.11715	-1.41968556840919	0.169467159890575	0.510501644665602	-5.12216637281235
ACAD9	0.588882352941176	-1.19545	1.48549023166463	0.15135281036147	0.487478784874274	-5.03605337292817
ACADL	0.945291666666667	1.84536842105263	0.71971774746503	0.479485969735347	0.787265397853059	-5.8177141925723
ACADM	1.9415294117647	1.1463	2.68319353087483	0.0134548573933254	0.169875254303858	-3.00807567537036
ACADS	-0.231882352941175	0.1499	-0.494420084553173	0.625823657486315	0.865502480807856	-5.95547911757616
ACADSB	2.43985416666667	-0.477052631578947	3.79643029357195	0.0010283277306986	0.0576078963890229	-0.691367836800365
ACADVL	1.12827450980392	-1.1433	2.72814820277317	0.0121572637695897	0.160971212872898	-2.91877662143975
ACAN	-0.430400000000001	-0.127	-0.73276113432562	0.472040512360233	0.782446610916362	-5.80333143868139
ACAP1	-0.91864705882353	2.07715	-1.68140250582681	0.106576452341376	0.420826691501469	-4.76137785783097
ACAP2	-2.06013333333333	3.69322222222222	-1.85042973475275	0.0787889354527754	0.368459038523339	-4.50051368178017
ACAP3	0.0705294117647061	0.43295	0.16944896569949	0.866964463915943	0.961710587913439	-6.06165307482407
ACAT1	2.17219607843137	-1.6453	3.39112829477077	0.00257897949241792	0.0827270564855788	-1.53473723859819
ACAT2	0.886254901960783	-1.94835	2.22091855084231	0.0367662053734943	0.262642339648997	-3.87994201539536
ACBD3	-0.0847500000000012	0.771631578947368	-0.18543008149542	0.85463797284016	0.957116569427018	-6.05439998063465
ACCS	-1.97009803921569	0.95675	-3.83586682108409	0.000876675298273433	0.0528393939994777	-0.559223283778046
ACD	0.0857058823529421	-1.37515	0.172308548347719	0.864742291133982	0.961191740196533	-6.0611696933913
ACE	-0.392098039215686	0.08305	-0.751528651905766	0.460158300326963	0.773839133142856	-5.79977215098651
ACER3	-0.898235294117646	-2.1105	-2.04854057261243	0.052402787847928	0.306958360079077	-4.17961592713393
ACHE	-1.40279166666667	1.87536842105263	-1.85187842129925	0.0778904675629121	0.366768381040638	-4.49998134886366
ACIN1	0.860058823529411	-2.19595	1.94862261635518	0.0639751168960569	0.338721831050973	-4.34594735440818
ACLY	0.262627450980392	-3.3511	0.659599266703666	0.516235893238211	0.808320093326908	-5.86254891679517
ACMSD	1.10304166666667	-0.431789473684211	1.6991829107011	0.103777045643282	0.4159058053145	-4.73257909688738
ACO1	-0.383588235294118	-4.66505	-0.630685606603058	0.534628467339844	0.819624517357736	-5.88067217119518
ACO2	1.0030625	-1.21831578947368	2.34035775331293	0.0290199316627571	0.23453448607241	-3.66772085023447
ACOT1	-0.604333333333334	-1.92935	-0.49813935043381	0.623241474079554	0.864136383894636	-5.95367160252585
ACOT12	-1.16572549019608	0.3708	-1.62300909274613	0.118578432111188	0.439282351080134	-4.84603016452683
ACOT13	1.50290196078431	-2.1282	2.94189902780553	0.00745118816527632	0.13014321905288	-2.48516668061979
ACOT2	0.592098039215683	-2.59105	0.614879461338033	0.544830549530986	0.82602136776048	-5.89024876672635
ACOT4	1.0546862745098	-0.65985	2.23560171584748	0.0356528997328056	0.259254366822793	-3.85371326654134
ACOT7	1.38045098039216	-2.32295	2.43007593261329	0.023543769979884	0.214600591899945	-3.49673150460728
ACOT8	0.460470588235292	-0.3506	0.660337587925779	0.515770858140756	0.808097033798947	-5.86207591525167
ACOX1	-0.632470588235295	0.1334	-0.982476405195628	0.336358531444433	0.683640382934268	-5.60830759736441
ACOX2	-0.566395833333334	-2.54263157894737	-0.986410384034784	0.334953910663874	0.68292919226184	-5.59999421517336
ACOX3	0.498411764705883	-0.924052631578947	0.544214399978156	0.591919728901242	0.849720996891235	-5.7668906136413
ACP2	1.02933333333333	-0.5594	2.17981842388455	0.0400524960053797	0.273529241012349	-3.95278925620951
ACP5	0.565058823529411	0.2643	0.955278768731108	0.349633266352239	0.694765891188445	-5.63330652236562
ACP6	0.652607843137254	-2.06795	1.64221708656175	0.11451109107275	0.432519865144187	-4.8184392705224
ACRBP	-3.82564583333333	3.22773684210526	-4.10492713190477	0.000489449899753507	0.0445540402573975	-0.0180277101855459
ACRV1	1.8065	-0.231736842105263	2.46251804025242	0.0223501413080124	0.210108425725982	-3.44166609571086
ACSF2	-0.0314901960784318	-1.3291	-0.06173340124727	0.951322664221522	0.987922909440039	-6.07397748241575
ACSF3	0.950250000000001	-0.268833333333333	2.05397029853509	0.0530177556080652	0.308619145802737	-4.05470172147643
ACSL1	-1.10510416666667	3.59005263157895	-1.55845898055166	0.133791255730107	0.463543620779637	-4.93355921560508
ACSL3	0.575098039215686	-1.7355	1.37978762762192	0.181270513909386	0.526409955843525	-5.17280798801893
ACSL6	0.909823529411765	0.39335	1.40843936155653	0.172730279210723	0.514446448921664	-5.13656208768505
ACSM2B	-0.7243125	-0.368833333333333	-0.65090640078116	0.522371649769395	0.811892980108137	-5.70278402625572
ACSM3	-1.10301960784314	-2.5249	-1.59204451075505	0.125389482186261	0.450366961422807	-4.88997554845137
ACSS1	0.912431372549019	0.7819	1.79931078617648	0.0854567280930499	0.380879070203156	-4.58358346494399
ACSS3	-0.98470588235294	-1.043	-2.33522397529232	0.0288758429001281	0.233753139048514	-3.67301576694977
ACTA1	0.186274509803922	-0.21	0.297456156639422	0.768859422922383	0.925513014489072	-6.03213185928523
ACTA2	-1.04164705882353	0.1176	-2.17216368277365	0.0406931781083979	0.275776072229706	-3.96626266155227
ACTB	-0.808313725490196	-2.3204	-1.6639411832495	0.110052885648342	0.425828238999037	-4.78693242822354
ACTC1	-0.547274509803921	-0.96085	-1.52764371239934	0.140599446284005	0.473769841581741	-4.97923070074532
ACTG1	-0.844549019607844	3.7568	-1.49761092153088	0.148194300657214	0.483377350331706	-5.01984609982739
ACTG2	0.432549019607842	-3.667	0.669721872405491	0.509880404965794	0.804289706756284	-5.85601969580406
ACTL6A	0.679686274509803	-0.8666	1.13267230105058	0.269330879886031	0.621000497649014	-5.45886336008722
