logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	score
4.85123071428571	11.7049816216216	16.0365423749433	7.16996138692718e-19	7.34375013559543e-15	32.6084182340449	IFI27	88.0230741130501
-3.72231813492063	5.21300837837838	-13.9746729614287	7.36307383622305e-17	1.41789550273542e-13	28.1804143701111	CNTNAP3	60.051938274848
4.44960134920635	10.2160781081081	10.9197251531801	1.73774311709964e-13	6.42227728974159e-11	20.6425551555204	RRM2	56.7769773923859
-2.73245547619047	4.95229918918919	-18.8375327735805	2.57523262677866e-21	4.71113056742889e-17	37.8956418127512	GRAMD1C	56.259027297812
4.33132956349206	7.19582513513514	11.0635005616266	1.17441737005177e-13	4.82804300398361e-11	21.0254246363054	CEP55	56.0048602142593
4.23414452380952	9.92385081081081	11.2300218253563	7.48500814888636e-14	3.42326847689317e-11	21.4653144584272	CD38	55.5765668888285
-3.19157293650793	4.48038783783784	-14.5102389095719	2.11587214386611e-17	5.52968071426952e-14	29.3784428511725	CNTNAP3B	53.217916693528
-3.92687611111111	6.67233108108108	-11.204271414588	8.02310040698677e-14	3.62406416902262e-11	21.3975399723843	PI3	51.4250256668336
3.40273996031746	5.81471756756757	12.3159356144917	4.32777765485783e-15	3.51877175190974e-12	24.2411534806011	KCTD14	48.876055267278
3.96356603174603	9.94702648648649	10.3305024142261	8.90307076369112e-13	2.32675395072808e-10	19.0437787580435	TYMS	47.7627946154916
3.98808146825396	6.13542648648649	10.0415146598484	2.01701056509742e-12	4.58375046930338e-10	18.2422615834626	MCM10	46.6417766008718
3.78940154761905	7.02879189189189	10.5324922756856	5.05929512955765e-13	1.51729090328078e-10	19.5972237742093	DTL	46.5941403290582
4.08131817460317	7.41358621621622	9.70124475491468	5.35687223993221e-12	9.23755016120618e-10	17.283996878908	BUB1	46.0008992050699
3.83302154761905	7.59244162162162	10.0432051584145	2.00732118779051e-12	4.58375046930338e-10	18.2469833021439	HMMR	44.8363215929785
3.75885694444444	6.65917594594595	9.82964571491658	3.6989479722847e-12	7.31551937351095e-10	17.6474299903796	NCAPG	42.9709585606858
-2.33997484126984	5.04753378378378	-15.9837365991541	8.0285887565272e-19	7.34375013559543e-15	32.5010393587633	CASS4	42.3426889855484
4.10238464285714	7.8249872972973	8.88686716227636	5.88875322769223e-11	5.85482888844574e-09	14.928530929649	DLGAP5	41.9672990840534
3.75613845238095	7.69667648648649	9.58082024576643	7.59600483085068e-12	1.20312824567604e-09	16.941139512051	CDT1	41.7660613770641
3.83066071428571	7.74128837837838	9.25644054991815	1.96384371120102e-11	2.50359281203565e-09	16.0080925189104	MKI67	41.0144746847315
1.8529473015873	10.0975259459459	20.5889712146013	1.06145509169349e-22	3.88365188948813e-18	40.8339617960941	MTHFD2	40.7168462894158
-2.3094676984127	5.58594027027027	-15.4887280913625	2.34977816633188e-18	1.1653287915573e-14	31.4795457901467	MAP7	40.7135440135284
3.72530468253968	7.79047837837838	9.2246062932784	2.1572479691465e-11	2.68467308486844e-09	15.9157859094705	CDC20	39.734472018089
3.64637932539682	8.38309108108108	9.40351913582566	1.27453153797122e-11	1.81449649460276e-09	16.432856682889	CDK1	39.726024379019
3.8295719047619	9.07217108108108	8.97862259110937	4.4765269376132e-11	4.69304205138659e-09	15.1981658301436	ZWINT	39.6324648127274
3.56203944444444	5.84268297297297	9.38846664313207	1.33202406064732e-11	1.88170256104109e-09	16.3895143503063	CDC6	38.7389169854395
3.9661201984127	6.6062927027027	8.52442151803982	1.75656080710834e-10	1.3361548193447e-08	13.8533878607053	PBK	38.6908383707248
3.37158492063492	6.71164189189189	9.84654376962774	3.52354975180947e-12	7.12282654506148e-10	17.6950943781729	CHEK1	38.6148281520332
-2.52886845238095	5.78903837837838	-13.1211919635061	5.74860720222508e-16	7.0110013438337e-13	26.1977546889883	TIGD3	38.5410612536912
3.91019031746032	6.56043405405405	8.56586117768475	1.54902605922753e-10	1.2110206293807e-08	13.9771074767618	CDCA2	38.3587373924802
3.71336317460317	8.03485378378378	8.96115966943982	4.7159682624721e-11	4.87423296009405e-09	15.1469296998694	TOP2A	38.3457816426872
3.59780777777777	6.99314756756757	9.21835661664147	2.19742960691116e-11	2.71466413604872e-09	15.8976490154222	KIF2C	38.3457412111967
3.50080611111111	8.14964756756757	9.42436959640748	1.19902676439476e-11	1.74395459136071e-09	16.4928447839012	UHRF1	38.2329026063944
3.97423448412698	8.03722324324324	8.08451013618855	6.75255417620811e-10	3.87853143169706e-08	12.5279985180927	SHCBP1	36.445844205188
2.26836015873016	8.85314243243243	13.6132374730442	1.73988506273062e-16	2.89358703069037e-13	27.3519927395309	UBE2S	35.748175284882
3.47009234126984	7.21058027027027	8.89556540483596	5.73740697952211e-11	5.74749752501137e-09	14.9541367158048	MELK	35.538202362045
3.30984365079365	7.39995432432432	9.27815887239838	1.8420779576989e-11	2.37316719423547e-09	16.0709919007293	TPX2	35.5301521401671
-2.66976261904762	9.35237243243243	-11.3844964877133	4.94430340311476e-14	2.4701181009799e-11	21.869978942831	MICAL2	35.5235807822296
-2.60009337301587	7.26062621621622	-11.6821394040108	2.24319383509667e-14	1.34304074093304e-11	22.6404852250454	ADGRE3	35.4890207736339
4.07642309523809	10.1498440540541	7.70009154194826	2.22706996890798e-09	9.5080555452048e-08	11.3530741459898	MZB1	35.2702975123818
3.08952876984127	7.19353621621622	9.73557673174918	4.8508484259135e-12	8.68473469572539e-10	17.3813883224218	RAD51AP1	34.9554917092628
